date,id,ndvi,satellite
2023-04-02,20230402T171851_20230402T172327_T14TPP,0.13100410046729916,Sentinel2
2023-04-07,20230407T171859_20230407T173039_T14TPP,0.11449701974341919,Sentinel2
2023-04-12,20230412T171901_20230412T172308_T14TPP,0.12626499272636768,Sentinel2
2023-04-17,20230417T171859_20230417T172937_T14TPP,0.13682411821101254,Sentinel2
2023-04-24,20230424T170849_20230424T171523_T14TPP,0.13762974710205908,Sentinel2
2023-04-29,20230429T170851_20230429T171334_T14TPP,0.11794172806323801,Sentinel2
2023-05-02,20230502T171901_20230502T172456_T14TQP,0.1316685600319727,Sentinel2
2023-05-17,20230517T171859_20230517T172554_T14TPP,0.13780907962104033,Sentinel2
2023-05-22,20230522T173041_20230522T173044_T14TPP,0.16414220944129643,Sentinel2
2023-05-24,20230524T170859_20230524T171356_T14TPP,0.15448938336716245,Sentinel2
2023-05-27,20230527T171859_20230527T172626_T14TPP,0.15524208171021467,Sentinel2
2023-06-01,20230601T171901_20230601T172351_T14TPP,0.15843649887332,Sentinel2
2023-06-06,20230606T171859_20230606T172648_T14TPP,0.19852359169042333,Sentinel2
2023-06-08,20230608T170851_20230608T171514_T14TQP,0.24781005590190117,Sentinel2
2023-06-11,20230611T171901_20230611T172735_T14TPP,0.31477379469459993,Sentinel2
2023-06-13,20230613T170859_20230613T171436_T14TPP,0.28031763115566405,Sentinel2
2023-06-16,20230616T171859_20230616T172725_T14TPP,0.31305224514766933,Sentinel2
2023-06-18,20230618T170901_20230618T170913_T14TPP,0.37865067045150275,Sentinel2
2023-06-28,20230628T170851_20230628T171345_T14TPP,0.41081959178531113,Sentinel2
2023-07-06,20230706T171859_20230706T172613_T14TPP,0.4748428871820442,Sentinel2
2023-07-08,20230708T170851_20230708T171755_T14TQP,0.4951725241651907,Sentinel2
2023-07-13,20230713T170859_20230713T171003_T14TPP,0.5795103793352806,Sentinel2
2023-07-16,20230716T171859_20230716T172620_T14TPP,0.47323641835767705,Sentinel2
2023-07-18,20230718T170851_20230718T171743_T14TPP,0.5896991722379065,Sentinel2
2023-07-23,20230723T170859_20230723T171343_T14TPP,0.6323038795370902,Sentinel2
2023-07-26,20230726T171859_20230726T172618_T14TPP,0.5650964436197287,Sentinel2
