date,id,ndvi,satellite
2023-04-02,20230402T171851_20230402T172327_T14TPP,0.1164662119458859,Sentinel2
2023-04-07,20230407T171859_20230407T173039_T14TPP,0.1127774013130277,Sentinel2
2023-04-12,20230412T171901_20230412T172308_T14TPP,0.1326905564181533,Sentinel2
2023-04-17,20230417T171859_20230417T172937_T14TPP,0.1419593757902358,Sentinel2
2023-04-24,20230424T170849_20230424T171523_T14TPP,0.1446039265215226,Sentinel2
2023-04-29,20230429T170851_20230429T171334_T14TPP,0.0972623877942266,Sentinel2
2023-05-02,20230502T171901_20230502T172456_T14TPP,0.1369967014480986,Sentinel2
2023-05-17,20230517T171859_20230517T172554_T14TPP,0.1499720081971548,Sentinel2
2023-05-22,20230522T173041_20230522T173044_T14TPP,0.1895632400756633,Sentinel2
2023-05-24,20230524T170859_20230524T171356_T14TPP,0.1619466946489988,Sentinel2
2023-05-27,20230527T171859_20230527T172626_T14TPP,0.1749747032437269,Sentinel2
2023-06-01,20230601T171901_20230601T172351_T14TPP,0.1952198092929087,Sentinel2
2023-06-03,20230603T170859_20230603T171403_T14TPP,0.224828881802053,Sentinel2
2023-06-06,20230606T171859_20230606T172648_T14TPP,0.2498510339320912,Sentinel2
2023-06-08,20230608T170851_20230608T171514_T14TPP,0.3014615007258338,Sentinel2
2023-06-11,20230611T171901_20230611T172735_T14TPP,0.3748633386820468,Sentinel2
2023-06-13,20230613T170859_20230613T171436_T14TPP,0.40019073835823,Sentinel2
2023-06-16,20230616T171859_20230616T172725_T14TPP,0.4138274022647321,Sentinel2
2023-06-18,20230618T170901_20230618T170913_T14TPP,0.470038854352753,Sentinel2
2023-06-21,20230621T173051_20230621T173045_T14TPP,0.4597565978156926,Sentinel2
2023-06-28,20230628T170851_20230628T171345_T14TPP,0.5338684372863772,Sentinel2
2023-07-06,20230706T171859_20230706T172613_T14TPP,0.4879242421982633,Sentinel2
2023-07-08,20230708T170851_20230708T171755_T14TPP,0.580822076861997,Sentinel2
