date,id,ndvi,satellite
2023-03-28,20230328T171859_20230328T172219_T14TPP,0.14108781610823573,Sentinel2
2023-04-02,20230402T171851_20230402T172327_T14TPP,0.10385173542099144,Sentinel2
2023-04-07,20230407T171859_20230407T173039_T14TPP,0.1202712509051706,Sentinel2
2023-04-12,20230412T171901_20230412T172308_T14TPP,0.13063375130673743,Sentinel2
2023-04-17,20230417T171859_20230417T172937_T14TPP,0.14211701678792488,Sentinel2
2023-04-24,20230424T170849_20230424T171523_T14TPP,0.15824679837531042,Sentinel2
2023-05-02,20230502T171901_20230502T172456_T14TPP,0.16851267777430073,Sentinel2
2023-05-17,20230517T171859_20230517T172554_T14TPP,0.19757142255107074,Sentinel2
2023-05-22,20230522T173041_20230522T173044_T14TPP,0.2934361653343668,Sentinel2
2023-05-24,20230524T170859_20230524T171356_T14TPP,0.32338135508748445,Sentinel2
2023-05-27,20230527T171859_20230527T172626_T14TPP,0.3623754832184902,Sentinel2
2023-06-03,20230603T170859_20230603T171403_T14TPP,0.4148553784036453,Sentinel2
2023-06-06,20230606T171859_20230606T172648_T14TPP,0.35207669716968265,Sentinel2
2023-06-08,20230608T170851_20230608T171514_T14TPP,0.48199774990830446,Sentinel2
2023-06-11,20230611T171901_20230611T172735_T14TPP,0.5448274535978349,Sentinel2
2023-06-13,20230613T170859_20230613T171436_T14TPP,0.5793004656481543,Sentinel2
2023-06-16,20230616T171859_20230616T172725_T14TPP,0.48011833970366785,Sentinel2
2023-06-18,20230618T170901_20230618T170913_T14TPP,0.5994569304616119,Sentinel2
2023-06-23,20230623T170849_20230623T171308_T14TPP,0.5213585886428307,Sentinel2
2023-06-28,20230628T170851_20230628T171345_T14TPP,0.5110482585622544,Sentinel2
2023-07-06,20230706T171859_20230706T172613_T14TPP,0.4404405273305049,Sentinel2
2023-07-08,20230708T170851_20230708T171755_T14TPP,0.5140914104387735,Sentinel2
2023-07-13,20230713T170859_20230713T171003_T14TPP,0.47952230871865853,Sentinel2
2023-07-18,20230718T170851_20230718T171743_T14TPP,0.42354993002845903,Sentinel2
2023-07-23,20230723T170859_20230723T171343_T14TPP,0.4577785414475729,Sentinel2
2023-07-26,20230726T171859_20230726T172618_T14TPP,0.3568472837291841,Sentinel2
2023-07-31,20230731T171901_20230731T172331_T14TPP,0.27295374956731727,Sentinel2
2023-08-02,20230802T170859_20230802T171338_T14TPP,0.19388803972609908,Sentinel2
2023-08-07,20230807T170851_20230807T172055_T14TPP,0.3658032760430918,Sentinel2
2023-08-12,20230812T170859_20230812T171607_T14TPP,0.3850057580395386,Sentinel2
2023-08-15,20230815T171859_20230815T173015_T14TPP,0.3814764234095336,Sentinel2
2023-08-17,20230817T170901_20230817T171901_T14TPP,0.39403202557018363,Sentinel2
2023-08-20,20230820T171901_20230820T171901_T14TPP,0.36745907292704916,Sentinel2
2023-08-22,20230822T170859_20230822T171837_T14TPP,0.36133224283416365,Sentinel2
2023-08-27,20230827T170851_20230827T171907_T14TPP,0.3583638097243,Sentinel2
2023-08-30,20230830T171901_20230830T173116_T14TPP,0.30230146537650093,Sentinel2
2023-09-01,20230901T170859_20230901T172029_T14TPP,0.30710103091149066,Sentinel2
2023-09-04,20230904T171859_20230904T172858_T14TPP,0.2633077846611129,Sentinel2
2023-09-06,20230906T170851_20230906T171914_T14TPP,0.27319699412194415,Sentinel2
2023-09-11,20230911T170859_20230911T171258_T14TPP,0.24766879791417337,Sentinel2
2023-09-14,20230914T171929_20230914T172526_T14TPP,0.22969678067291466,Sentinel2
2023-09-16,20230916T170941_20230916T171218_T14TPP,0.2013396049165555,Sentinel2
