date,mean_precipitation,temperature_2m_max,surface_net_solar_radiation_sum
2023-01-01,0.0024318694045177,-0.3028167724609147,2009136.0
2023-01-02,2.0792961119582287,-2.5424255371093523,1023102.0
2023-01-03,19.61005003005312,-3.6014465332031023,494506.0
2023-01-04,3.228865341384335,-4.230627441406227,658186.0
2023-01-05,1.017597317684249,-5.355978393554665,1098318.0
2023-01-06,0.1192182301110733,-8.82182922363279,940804.0
2023-01-07,0.1293728337259381,-10.283956909179665,1084418.0
2023-01-08,0.0165849924087524,-9.080511474609352,1366624.0
2023-01-09,0.0021547078290495,-3.8057159423827898,1436462.0
2023-01-10,0.0009268521239391,-4.910467529296852,1414246.0
2023-01-11,0.1392960548400879,-1.7315734863281025,1587976.0
2023-01-12,0.029340386390686,-5.301840209960915,1524602.0
2023-01-13,0.1189023255960819,-8.786398315429665,1358222.0
2023-01-14,0.0019818544387817,1.4307952880859602,1698492.0
2023-01-15,0.0013049809126641,0.9571166992187728,2304444.0
2023-01-16,3.768630925151229,1.5783782958984602,635458.0
2023-01-17,0.845748186009132,0.0147186279297102,2113090.0
2023-01-18,0.3040075302074285,-3.4502777099609148,1396198.0
2023-01-19,8.155804872444605,-2.4015411376952898,1505554.0
2023-01-20,0.1258340466847585,-4.381781005859352,1253286.0
2023-01-21,0.1556456087996593,-3.681585693359352,1961976.0
2023-01-22,0.1759976148605346,-6.583502197265602,1479364.0
2023-01-23,0.0991791486626425,0.1187225341797102,1772486.0
2023-01-24,0.0232040881087414,-1.3595794677734148,2131584.0
2023-01-25,0.157344341175758,-4.912252807617165,1957632.0
2023-01-26,0.0813646262827205,-7.767599487304665,2316744.0
2023-01-27,0.9396284817739796,1.5641418457031475,2138936.0
2023-01-28,4.055768251362224,-6.138647460937477,1815542.0
2023-01-29,0.5595878977260327,-16.827062988281227,2342542.0
2023-01-30,0.1628845402024126,-17.129431152343727,2766572.0
2023-01-31,0.0025749725409696,-16.13121643066404,2896392.0
2023-02-01,0.00129334284793,-10.644003295898417,2911122.0
2023-02-02,0.001710653293685,-10.670385742187475,3082522.0
2023-02-03,0.00821053981781,-14.037359619140602,3030108.0
2023-02-04,0.0002235174179077,-2.0592102050781023,3056490.0
2023-02-05,0.0012678702887569,-1.6193298339843525,3403098.0
2023-02-06,0.0566273926665417,1.5306793212890852,1724696.0
2023-02-07,0.0098764896279135,1.1367889404297102,4140702.0
2023-02-08,0.0004261732051702,1.9164215087890848,4490010.0
2023-02-09,0.0216811894233615,0.6811309814453352,2992572.0
2023-02-10,0.0008523463179699,-1.5806488037109148,5080302.0
2023-02-11,0.0008548760206394,0.8993011474609602,5113644.0
2023-02-12,0.0,1.5348297119140852,4818214.0
2023-02-13,0.0,4.034448242187523,5653600.0
2023-02-14,8.685660034984721,3.7629180908203352,1686006.0
2023-02-15,12.950008960899597,2.31128845214846,3683560.0
2023-02-16,0.0072735920184641,-8.615301513671852,4132516.0
2023-02-17,0.0002980232238769,-1.0610260009765398,4716390.0
2023-02-18,0.0021583064722108,1.5746093750000227,4768476.0
2023-02-19,0.005277165996631,0.2250915527343977,4053462.0
2023-02-20,0.0050961971282958,2.2787719726562727,5288066.0
2023-02-21,1.1546776073600995,0.8476806640625227,2579480.0
2023-02-22,8.980298042217782,-6.441137695312477,1225598.0
2023-02-23,7.504376768963539,-9.096960449218727,2585754.0
2023-02-24,0.1571953296206629,-17.473150634765602,2772300.0
2023-02-25,0.4437271945789689,-3.16747131347654,2983362.0
2023-02-26,0.0031471251418224,3.9432006835937727,2979014.0
2023-02-27,2.88725495329345,4.311822509765648,2890240.0
2023-02-28,1.2745598104970668,1.2490631103515852,3053750.0
2023-03-01,0.5042791366349775,0.1838317871093977,3701592.0
2023-03-02,0.0596940517425537,-1.1099761962890398,4971582.0
2023-03-03,0.0008523463179699,0.4054656982422102,5195844.0
2023-03-04,0.1785039900710217,1.0051818847656475,5853848.771240234
2023-03-05,5.061748623745643,0.9258056640625228,2684648.328125
2023-03-06,0.2464896688820772,0.7734619140625227,3623370.90234375
2023-03-07,0.0398825141587622,-0.2771820068359147,3051001.6015625
2023-03-08,0.4550694085878604,0.4023223876953352,3523506.4921875
2023-03-09,8.022368566457772,-0.2978271484374772,2246654.65625
2023-03-10,0.9000033139159314,-0.5800079345702898,3326938.87109375
2023-03-11,5.682069954730196,0.2414184570312727,2412066.62109375
2023-03-12,0.4092514514013601,-0.4583496093749772,3204374.25
2023-03-13,0.2199749166607034,-6.07579650878904,3796614.8125
2023-03-14,0.0083327292372814,2.2430664062500227,5056076.1875
2023-03-15,0.0012881691304755,8.466653442382835,5311406.3125
2023-03-16,8.545184135432038,7.709680175781273,2701237.25
2023-03-17,0.127831351903751,-4.864233398437477,4669021.0
2023-03-18,0.1402852413434629,-9.381796264648417,4843751.8125
2023-03-19,0.0012844800494349,5.139932250976585,6132741.36328125
2023-03-20,0.00172132604348,4.192178344726585,8570352.09375
2023-03-21,0.0534926778250621,9.558953857421898,7305877.6953125
2023-03-22,2.3663742983899283,7.180871582031273,8934380.0
2023-03-23,0.2885222434088064,1.2488952636718975,12661078.0
2023-03-24,0.0025688932510092,8.05549011230471,13975398.0
2023-03-25,0.0381470068191447,6.152261352539085,12331362.0
2023-03-26,0.0012695788313976,2.2560668945312727,16537246.0
2023-03-27,0.0,2.610879516601585,16970944.0
2023-03-28,0.0019371509552001,8.592034912109398,17442790.0
2023-03-29,0.6429582833220593,1.6383300781250227,17898752.0
2023-03-30,0.535041093826294,11.767816162109398,11822252.0
