date,id,ndvi,satellite
2023-04-02,20230402T171851_20230402T172327_T14TPP,0.1149747833490083,Sentinel2
2023-04-07,20230407T171859_20230407T173039_T14TPP,0.1215541873825798,Sentinel2
2023-04-12,20230412T171901_20230412T172308_T14TPP,0.125323181907369,Sentinel2
2023-04-17,20230417T171859_20230417T172937_T14TPP,0.1345844530074999,Sentinel2
2023-04-24,20230424T170849_20230424T171523_T14TPP,0.1390010432270808,Sentinel2
2023-05-02,20230502T171901_20230502T172456_T14TPP,0.1443986210670848,Sentinel2
2023-05-17,20230517T171859_20230517T172554_T14TPP,0.1595013664443221,Sentinel2
2023-05-22,20230522T173041_20230522T173044_T14TPP,0.194955824712083,Sentinel2
2023-05-24,20230524T170859_20230524T171356_T14TPP,0.1781141233689381,Sentinel2
2023-05-27,20230527T171859_20230527T172626_T14TPP,0.1882292367560919,Sentinel2
2023-06-01,20230601T171901_20230601T172351_T14TPP,0.2247514289132171,Sentinel2
2023-06-03,20230603T170859_20230603T171403_T14TPP,0.263681073456271,Sentinel2
2023-06-06,20230606T171859_20230606T172648_T14TPP,0.2933396850388718,Sentinel2
2023-06-08,20230608T170851_20230608T171514_T14TPP,0.3421146328251285,Sentinel2
2023-06-11,20230611T171901_20230611T172735_T14TPP,0.4026843353755659,Sentinel2
2023-06-13,20230613T170859_20230613T171436_T14TPP,0.4328122880803358,Sentinel2
2023-06-16,20230616T171859_20230616T172725_T14TPP,0.4391839926907261,Sentinel2
2023-06-18,20230618T170901_20230618T170913_T14TPP,0.4527128006673446,Sentinel2
2023-06-21,20230621T173051_20230621T173045_T14TPP,0.4866031183420111,Sentinel2
2023-06-28,20230628T170851_20230628T171345_T14TPP,0.5442425023719087,Sentinel2
2023-07-06,20230706T171859_20230706T172613_T14TPP,0.5229434015261197,Sentinel2
2023-07-08,20230708T170851_20230708T171755_T14TPP,0.5699073958223029,Sentinel2
2023-07-13,20230713T170859_20230713T171003_T14TPP,0.5826755904117593,Sentinel2
2023-07-18,20230718T170851_20230718T171743_T14TPP,0.5597011017039527,Sentinel2
